MasterID,CollectionDate,SpawnYear,LGDTrapID,BioSamplesID,CollectionLocation,LGDFLmm,LGDWeight,SRR,LGDSpecies,PtagisSpecies,GenSpecies,LGDRun,PtagisRun,GenRun,LGDRear,PtagisRear,GenRear,LGDLifeStage,LGDSex,GenSex,GenStock,GenStockProb,GenParentHatchery,GenBY,GenPBT_ByHat,GenPBT_RGroup,GenComments,LGDFishComments,BioScaleFinalAge,PtagisEventSites,PtagisLastEventSite,PtagisLastEventDate,PtagisEventLastSpawnSite,RepeatSpawner,BiosamplesValid,LGDValid,LGDInjuryiesAll,LGDMarksAll,LGDMarkAD,LGDTagsAll,LGDNumPIT,LGDNumRT,LGDNumJaw,LGDOpComments,PTAgisSxCGRAObs,OpTrapSampleRate,OpWaterTemp,CreatedDate,CreatedUser,Editdate,EditUser,LGDNumFloy,Date,SppCode,Species,week_num
421758,2019-04-08T00:00:00Z,SY2019,LGR1A-LGR-32H-2019-000032,NA,Lower Granite Dam ->,650,NA,32H,3,NA,NA,2,NA,NA,H,NA,NA,RF,NI,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,FALSE,1,NA,AD,AD,Wire,NA,NA,NA,NA,NA,0.28,47,2019-04-08T21:00:05Z,IDFG\pbunn,2019-04-08T21:00:05Z,IDFG\pbunn,NA,2019-04-08T00:00:00Z,3,Steelhead,6
421769,2019-04-08T00:00:00Z,SY2019,LGR1A-LGR-32H-2019-000022,NA,Lower Granite Dam ->,640,NA,32H,3,NA,NA,2,NA,NA,H,NA,NA,RF,NI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,1,NA,AD,AD,Wire,NA,NA,NA,NA,NA,0.28,47,2019-04-08T21:00:05Z,IDFG\pbunn,2019-04-08T21:00:05Z,IDFG\pbunn,NA,2019-04-08T00:00:00Z,3,Steelhead,6
421760,2019-04-08T00:00:00Z,SY2019,LGR2A-LGR-32W-2019-000026,19-20022,Lower Granite Dam ->,840,NA,32H,3,3,3,2,2,NA,W,W,H,RF,NI,F,SFCLWR,0.997,NA,NA,2015-DWOR-DWOR,2015-DWOR-DWOR-LoloCr-NoClip,NA,NA,2:2,GRA(O),GRA,2019-04-08T17:08:03Z,NA,NA,TRUE,1,OD,UM,AI,Pit,3DD.00775ED41B,NA,NA,NA,NA,0.28,47,2019-04-08T21:00:05Z,IDFG\pbunn,2019-05-31T06:18:08Z,IDFG\pbunn,NA,2019-04-08T00:00:00Z,3,Steelhead,6
422940,2019-05-17T00:00:00Z,SY2019,LGR1A-LGR-11H-2019-001129,NA,Lower Granite Dam ->,700,NA,15H,1,NA,NA,5,NA,NA,H,NA,NA,RF,NI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,1,NA,AD,AD,NA,NA,NA,NA,NA,NA,0.28,52,2019-05-17T21:00:04Z,IDFG\pbunn,2019-05-17T21:00:04Z,IDFG\pbunn,NA,2019-05-17T00:00:00Z,1,Chinook,11
422941,2019-05-17T00:00:00Z,SY2019,LGR1A-LGR-11H-2019-001039,NA,Lower Granite Dam ->,740,NA,15H,1,NA,NA,5,NA,NA,H,NA,NA,RF,NI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,1,NA,AD,AD,NA,NA,NA,NA,NA,NA,0.28,52,2019-05-17T21:00:04Z,IDFG\pbunn,2019-05-17T21:00:04Z,IDFG\pbunn,NA,2019-05-17T00:00:00Z,1,Chinook,11
422942,2019-05-17T00:00:00Z,SY2019,LGR1A-LGR-11H-2019-001063,NA,Lower Granite Dam ->,770,NA,15H,1,NA,NA,5,NA,NA,H,NA,NA,RF,NI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,1,G,AD,AD,NA,NA,NA,NA,NA,NA,0.28,52,2019-05-17T21:00:04Z,IDFG\pbunn,2019-05-17T21:00:04Z,IDFG\pbunn,NA,2019-05-17T00:00:00Z,1,Chinook,11
422956,2019-05-17T00:00:00Z,SY2019,LGR1A-LGR-11H-2019-001010,NA,Lower Granite Dam ->,460,NA,15H,1,NA,NA,5,NA,NA,H,NA,NA,RF,NI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,1,NA,AD,AD,NA,NA,NA,NA,NA,NA,0.28,52,2019-05-17T21:00:04Z,IDFG\pbunn,2019-05-17T21:00:04Z,IDFG\pbunn,NA,2019-05-17T00:00:00Z,1,Chinook,11
421761,2019-04-08T00:00:00Z,SY2019,LGR1A-LGR-32H-2019-000019,NA,Lower Granite Dam ->,670,NA,32H,3,NA,NA,2,NA,NA,H,NA,NA,RF,NI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,1,NA,AD,AD,NA,NA,NA,NA,NA,NA,0.28,47,2019-04-08T21:00:05Z,IDFG\pbunn,2019-04-08T21:00:05Z,IDFG\pbunn,NA,2019-04-08T00:00:00Z,3,Steelhead,6
421764,2019-04-08T00:00:00Z,SY2019,LGR2A-LGR-32W-2019-000020,19-20017,Lower Granite Dam ->,620,NA,32H,3,3,3,2,2,NA,W,W,H,RF,NI,M,SFCLWR,0.999,NA,NA,2015-DWOR-DWOR,2015-DWOR-DWOR-LoloCr-NoClip,NA,NA,3:2,"GRA(O),LC1(O),LC1(O)",LC1,2019-05-05T10:36:17Z,LC1,NA,TRUE,1,NA,UM,AI,Pit,3DD.00775EEEE1,NA,NA,NA,NA,0.28,47,2019-04-08T21:00:05Z,IDFG\pbunn,2019-05-31T06:18:08Z,IDFG\pbunn,NA,2019-04-08T00:00:00Z,3,Steelhead,6
422962,2019-05-17T00:00:00Z,SY2019,LGR1A-LGR-11H-2019-001035,NA,Lower Granite Dam ->,720,NA,15H,1,NA,NA,5,NA,NA,H,NA,NA,RF,NI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,1,NA,AD,AD,NA,NA,NA,NA,NA,NA,0.28,52,2019-05-17T21:00:04Z,IDFG\pbunn,2019-05-17T21:00:04Z,IDFG\pbunn,NA,2019-05-17T00:00:00Z,1,Chinook,11
422987,2019-05-17T00:00:00Z,SY2019,LGR1A-LGR-11H-2019-001055,NA,Lower Granite Dam ->,740,NA,15H,1,NA,NA,5,NA,NA,H,NA,NA,RF,NI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,1,NA,AD,AD,NA,NA,NA,NA,NA,NA,0.28,52,2019-05-17T21:00:04Z,IDFG\pbunn,2019-05-17T21:00:04Z,IDFG\pbunn,NA,2019-05-17T00:00:00Z,1,Chinook,11
421765,2019-04-08T00:00:00Z,SY2019,LGR2A-LGR-32W-2019-000017,19-20014,Lower Granite Dam ->,750,NA,32H,3,3,3,2,2,NA,W,W,H,RF,NI,F,SFCLWR,0.999,NA,NA,2015-MVFH-USAL,2015-MVFH-USAL-YankeeForkR-NoClip,NA,NA,?:2,GRA(O),GRA,2019-04-08T14:38:39Z,NA,NA,TRUE,1,HB,UM,AI,Pit,3DD.00775FB82A,NA,NA,NA,NA,0.28,47,2019-04-08T21:00:05Z,IDFG\pbunn,2019-05-31T06:18:08Z,IDFG\pbunn,NA,2019-04-08T00:00:00Z,3,Steelhead,6
422819,2019-05-16T00:00:00Z,SY2019,LGR1A-LGR-11H-2019-000840,NA,Lower Granite Dam ->,730,NA,15H,1,NA,NA,5,NA,NA,H,NA,NA,RF,NI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,1,NA,AD,AD,NA,NA,NA,NA,NA,NA,0.28,52.7,2019-05-16T21:00:05Z,IDFG\pbunn,2019-05-16T21:00:05Z,IDFG\pbunn,NA,2019-05-16T00:00:00Z,1,Chinook,11
422821,2019-05-16T00:00:00Z,SY2019,LGR1A-LGR-11H-2019-000988,NA,Lower Granite Dam ->,640,NA,15H,1,NA,NA,5,NA,NA,H,NA,NA,RF,NI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,1,NA,AD,AD,NA,NA,NA,NA,NA,NA,0.28,52.7,2019-05-16T21:00:05Z,IDFG\pbunn,2019-05-16T21:00:05Z,IDFG\pbunn,NA,2019-05-16T00:00:00Z,1,Chinook,11
422807,2019-05-16T00:00:00Z,SY2019,LGR1A-LGR-11H-2019-000795,NA,Lower Granite Dam ->,710,NA,15H,1,NA,NA,5,NA,NA,H,NA,NA,RF,NI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,1,G,AD,AD,NA,NA,NA,NA,NA,NA,0.28,52.7,2019-05-16T21:00:05Z,IDFG\pbunn,2019-05-16T21:00:05Z,IDFG\pbunn,NA,2019-05-16T00:00:00Z,1,Chinook,11
422838,2019-05-16T00:00:00Z,SY2019,LGR1A-LGR-11H-2019-000929,NA,Lower Granite Dam ->,660,NA,15H,1,NA,NA,5,NA,NA,H,NA,NA,RF,NI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,1,NA,AD,AD,Wire,NA,NA,NA,NA,NA,0.28,52.7,2019-05-16T21:00:05Z,IDFG\pbunn,2019-05-16T21:00:05Z,IDFG\pbunn,NA,2019-05-16T00:00:00Z,1,Chinook,11
422841,2019-05-16T00:00:00Z,SY2019,LGR1A-LGR-11H-2019-000819,NA,Lower Granite Dam ->,420,NA,15H,1,NA,NA,5,NA,NA,H,NA,NA,RF,NI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,1,NA,AD,AD,NA,NA,NA,NA,NA,NA,0.28,52.7,2019-05-16T21:00:05Z,IDFG\pbunn,2019-05-16T21:00:05Z,IDFG\pbunn,NA,2019-05-16T00:00:00Z,1,Chinook,11
422828,2019-05-16T00:00:00Z,SY2019,LGR1A-LGR-11H-2019-000786,NA,Lower Granite Dam ->,760,NA,15H,1,NA,NA,5,NA,NA,H,NA,NA,RF,NI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,1,NA,AD,AD,NA,NA,NA,NA,NA,NA,0.28,52.7,2019-05-16T21:00:05Z,IDFG\pbunn,2019-05-16T21:00:05Z,IDFG\pbunn,NA,2019-05-16T00:00:00Z,1,Chinook,11
422835,2019-05-16T00:00:00Z,SY2019,LGR1A-LGR-11H-2019-000960,NA,Lower Granite Dam ->,690,NA,15H,1,NA,NA,5,NA,NA,H,NA,NA,RF,NI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,1,S,AD,AD,NA,NA,NA,NA,NA,NA,0.28,52.7,2019-05-16T21:00:05Z,IDFG\pbunn,2019-05-16T21:00:05Z,IDFG\pbunn,NA,2019-05-16T00:00:00Z,1,Chinook,11
421766,2019-04-08T00:00:00Z,SY2019,LGR1A-LGR-32H-2019-000029,NA,Lower Granite Dam ->,790,NA,32H,3,NA,NA,2,NA,NA,H,NA,NA,RF,NI,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,FALSE,1,NA,AD,AD,NA,NA,NA,NA,NA,NA,0.28,47,2019-04-08T21:00:05Z,IDFG\pbunn,2019-04-08T21:00:05Z,IDFG\pbunn,NA,2019-04-08T00:00:00Z,3,Steelhead,6
421906,2019-05-03T00:00:00Z,SY2019,LGR1A-LGR-11H-2019-000114,NA,Lower Granite Dam ->,590,NA,15H,1,NA,NA,5,NA,NA,H,NA,NA,RF,NI,NA,NA,NA,NA,NA,NA,NA,NA,RG,NA,NA,NA,NA,NA,NA,FALSE,1,NA,AD,AD,NA,NA,NA,NA,NA,NA,0.28,49,2019-05-05T21:00:04Z,IDFG\pbunn,2019-05-05T21:00:04Z,IDFG\pbunn,NA,2019-05-03T00:00:00Z,1,Chinook,9
421813,2019-04-15T00:00:00Z,SY2019,LGR1A-LGR-32H-2019-000048,NA,Lower Granite Dam ->,530,NA,32H,3,NA,NA,2,NA,NA,H,NA,NA,RF,NI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,1,S,AD,AD,NA,NA,NA,NA,NA,NA,0.28,47,2019-04-15T21:00:04Z,IDFG\pbunn,2019-04-15T21:00:04Z,IDFG\pbunn,NA,2019-04-15T00:00:00Z,3,Steelhead,7
422802,2019-05-16T00:00:00Z,SY2019,LGR1A-LGR-11H-2019-000890,NA,Lower Granite Dam ->,730,NA,15H,1,NA,NA,5,NA,NA,H,NA,NA,RF,NI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,1,NA,AD,AD,NA,NA,NA,NA,NA,NA,0.28,52.7,2019-05-16T21:00:05Z,IDFG\pbunn,2019-05-16T21:00:05Z,IDFG\pbunn,NA,2019-05-16T00:00:00Z,1,Chinook,11
422955,2019-05-17T00:00:00Z,SY2019,LGR1A-LGR-11H-2019-001183,19-16522,Lower Granite Dam ->,750,NA,15H,1,NA,1,5,NA,5,H,NA,H,RF,NI,F,NA,NA,NA,NA,2015-CLWH-Powell,2015-CLWH-POWELL-SelwayR-AD,NA,batch 20,NA,NA,NA,NA,NA,NA,FALSE,1,NA,AD,AD,NA,NA,NA,NA,NA,NA,0.28,52,2019-05-17T21:00:04Z,IDFG\pbunn,2019-05-28T13:45:39Z,IDFG\pbunn,NA,2019-05-17T00:00:00Z,1,Chinook,11
422990,2019-05-17T00:00:00Z,SY2019,LGR1A-LGR-11H-2019-001168,19-16515,Lower Granite Dam ->,680,NA,15H,1,NA,1,5,NA,5,H,NA,H,RF,NI,F,NA,NA,NA,NA,2015-LOOK-LKGW,2015-LOOK-LKGW-LookingGlass,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,1,NA,AD,AD,Wire,NA,NA,NA,NA,NA,0.28,52,2019-05-17T21:00:04Z,IDFG\pbunn,2019-05-28T13:45:39Z,IDFG\pbunn,NA,2019-05-17T00:00:00Z,1,Chinook,11
